X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Date___Tim,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone
-93.244008,45.010902,1,Northrop,2022-2023,4,271123317011,1/6/23 12:00 AM,2:47 PM,1/6/23 2:47 PM,1031 23RD AVE NE,45.010902,-93.244008,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.242512,45.01093,2,Northrop,2022-2023,4,271123317010,1/6/23 12:00 AM,2:44 PM,1/6/23 2:44 PM,1127 23RD AVE NE,45.01093,-93.242512,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.228196,45.0068640000001,3,Northrop,2022-2023,4,271123317009,1/6/23 12:00 AM,2:13 PM,1/6/23 2:13 PM,1829 MCKINLEY ST NE,45.006864,-93.228196,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.229452,45.010878,4,Northrop,2022-2023,4,271123317008,1/6/23 12:00 AM,2:06 PM,1/6/23 2:06 PM,2239 BENJAMIN ST NE,45.010878,-93.229452,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.233263,45.0115210000001,5,Northrop,2022-2023,4,271123317006,1/6/23 12:00 AM,1:50 PM,1/6/23 1:50 PM,2307 GARFIELD ST NE,45.011521,-93.233263,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.2359089999999,45.007192,6,Northrop,2022-2023,4,271123317003,1/6/23 12:00 AM,12:22 PM,1/6/23 12:22 PM,1837 ULYSSES ST NE,45.007192,-93.235909,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.238412,45.0102860000001,7,Northrop,2022-2023,4,271123317002,1/6/23 12:00 AM,12:12 PM,1/6/23 12:12 PM,2217 LINCOLN ST NE,45.010286,-93.238412,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.2438289999999,45.0078600000001,8,Northrop,2022-2023,4,271123317001,1/6/23 12:00 AM,11:41 AM,1/6/23 11:41 AM,1903 TAYLOR ST NE,45.00786,-93.243829,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-93.2425019999999,44.960567,9,Northrop,2022-2023,4,271123316420,1/6/23 12:00 AM,1:13 PM,1/6/23 1:13 PM,2209 21ST AVE S,44.960567,-93.242502,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.242475,44.960678,10,Northrop,2022-2023,4,271123316419,1/6/23 12:00 AM,1:12 PM,1/6/23 1:12 PM,2203 21ST AVE S,44.960678,-93.242475,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.242475,44.961307,11,Northrop,2022-2023,4,271123316418,1/6/23 12:00 AM,1:08 PM,1/6/23 1:08 PM,2113 21ST AVE S,44.961307,-93.242475,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.242508,44.9614530000001,12,Northrop,2022-2023,4,271123316417,1/6/23 12:00 AM,1:07 PM,1/6/23 1:07 PM,2109 21ST AVE S,44.961453,-93.242508,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.2424829999999,44.9619250000001,13,Northrop,2022-2023,4,271123316416,1/6/23 12:00 AM,1:02 PM,1/6/23 1:02 PM,2019 21ST AVE S,44.961925,-93.242483,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.2424819999999,44.962008,14,Northrop,2022-2023,4,271123316415,1/6/23 12:00 AM,1:02 PM,1/6/23 1:02 PM,2015 21ST AVE S,44.962008,-93.242482,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.24249,44.9620310000001,15,Northrop,2022-2023,4,271123316414,1/6/23 12:00 AM,1:01 PM,1/6/23 1:01 PM,2015 21ST AVE S,44.962031,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.24249,44.9621060000001,16,Northrop,2022-2023,4,271123316413,1/6/23 12:00 AM,1:00 PM,1/6/23 1:00 PM,2015 21ST AVE S,44.962106,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.2425009999999,44.96209,17,Northrop,2022-2023,4,271123316412,1/6/23 12:00 AM,12:59 PM,1/6/23 12:59 PM,2013 21ST AVE S,44.96209,-93.242501,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.242452,44.9621980000001,18,Northrop,2022-2023,4,271123316411,1/6/23 12:00 AM,12:58 PM,1/6/23 12:58 PM,2013 21ST AVE S,44.962198,-93.242452,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.24249,44.963215,19,Northrop,2022-2023,4,271123316410,1/6/23 12:00 AM,12:50 PM,1/6/23 12:50 PM,917 21ST AVE S,44.963215,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.24249,44.963514,20,Northrop,2022-2023,4,271123316409,1/6/23 12:00 AM,12:47 PM,1/6/23 12:47 PM,909 21ST AVE S,44.963514,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.242474,44.9634970000001,21,Northrop,2022-2023,4,271123316408,1/6/23 12:00 AM,12:46 PM,1/6/23 12:46 PM,907 21ST AVE S,44.963497,-93.242474,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.242553,44.9638640000001,22,Northrop,2022-2023,4,271123316407,1/6/23 12:00 AM,12:41 PM,1/6/23 12:41 PM,903 21ST AVE S,44.963864,-93.242553,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
-93.240901,44.96385,23,Northrop,2022-2023,4,271123316406,1/6/23 12:00 AM,12:38 PM,1/6/23 12:38 PM,903 22ND AVE S,44.96385,-93.240901,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4
